SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPEST_MALE,POPEST_FEM,AGE04_MALE,AGE04_FEM,AGE59_MALE,AGE59_FEM,AGE1014_MALE,AGE1014_FEM,AGE1519_MALE,AGE1519_FEM,AGE2024_MALE,AGE2024_FEM,AGE2529_MALE,AGE2529_FEM,AGE3034_MALE,AGE3034_FEM,AGE3539_MALE,AGE3539_FEM,AGE4044_MALE,AGE4044_FEM,AGE4549_MALE,AGE4549_FEM,AGE5054_MALE,AGE5054_FEM,AGE5559_MALE,AGE5559_FEM,AGE6064_MALE,AGE6064_FEM,AGE6569_MALE,AGE6569_FEM,AGE7074_MALE,AGE7074_FEM,AGE7579_MALE,AGE7579_FEM,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_MALE,AGE85PLUS_FEM
50,6,13,California,Contra Costa County,12,564187,589339,33004,31620,35963,34637,39024,37471,37825,35916,33378,32316,36721,35665,36928,36988,39272,40443,37603,39525,38683,40499,39015,40553,39336,41213,34515,37709,27970,32306,22496,26981,14673,18531,9172,12135,8609,14831
50,6,15,California,Del Norte County,4,15819,12624,847,849,844,758,845,841,936,814,1115,698,1346,741,1380,671,1241,633,1145,694,1204,877,1175,1039,1008,1014,936,871,619,647,451,502,313,373,239,307,175,295
50,6,15,California,Del Norte County,5,15663,12527,827,817,841,808,814,809,932,776,1105,712,1317,724,1425,678,1216,621,1116,671,1154,811,1121,1009,976,1038,936,873,678,691,486,522,294,364,245,329,180,274
50,6,15,California,Del Norte County,6,15407,12409,834,790,848,836,807,751,896,746,1064,686,1238,724,1399,699,1207,616,1045,662,1090,764,1104,952,983,1081,945,882,717,681,504,562,290,387,242,315,194,275
50,6,15,California,Del Norte County,7,14858,12317,774,816,841,822,825,757,841,706,972,645,1171,698,1328,726,1179,626,986,646,986,702,1062,928,978,1057,911,916,773,711,502,574,300,412,247,290,182,285
50,6,15,California,Del Norte County,8,14883,12307,816,769,839,810,781,751,853,700,942,649,1204,683,1323,714,1173,662,988,620,952,692,1005,887,1018,1043,904,962,830,795,502,552,329,424,242,295,182,299
50,6,15,California,Del Norte County,9,14885,12497,865,789,828,822,810,752,825,717,938,623,1196,684,1250,757,1215,684,943,638,949,686,992,837,1003,1036,920,1008,866,856,517,582,358,430,226,268,184,328
50,6,15,California,Del Norte County,10,14744,12607,857,749,839,840,872,808,794,722,924,598,1125,723,1213,747,1218,746,899,632,909,677,934,791,984,1003,915,1047,874,855,588,614,378,453,217,267,204,335
50,6,15,California,Del Norte County,11,15131,12609,782,737,878,817,866,831,771,703,960,618,1202,718,1299,708,1272,792,991,640,962,662,891,748,988,946,918,1085,858,889,651,621,397,476,239,289,206,329
50,6,15,California,Del Norte County,12,15186,12626,755,694,871,844,881,829,802,699,914,596,1196,695,1305,697,1282,800,1032,674,958,644,813,707,994,982,955,1070,846,910,699,665,410,489,253,309,220,322
50,6,17,California,El Dorado County,4,90450,90486,4580,4336,5607,5389,6208,5986,6390,5811,5100,4465,4562,4112,4398,4238,4619,4645,5816,6052,7088,7496,8247,8590,7619,7831,6988,6921,4764,4882,3344,3386,2334,2361,1549,1890,1237,2095
50,6,17,California,El Dorado County,5,90238,90337,4390,4188,5594,5316,6077,5829,6233,5704,5217,4632,4507,4016,4484,4351,4453,4542,5715,5852,6610,7005,8117,8440,7668,8079,7020,6839,5315,5449,3528,3628,2415,2433,1612,1890,1283,2144
50,6,17,California,El Dorado County,6,90703,90778,4274,4068,5497,5216,6105,5784,6078,5663,5310,4661,4526,4013,4573,4529,4467,4554,5646,5721,6305,6571,7879,8220,7897,8254,7132,7131,5611,5688,3818,3967,2521,2576,1710,1917,1354,2245
50,6,17,California,El Dorado County,7,91551,91557,4364,4099,5430,5161,6016,5679,6080,5571,5396,4768,4648,4161,4699,4542,4578,4682,5436,5511,6143,6365,7645,7996,8006,8365,7210,7351,6047,6049,3998,4199,2653,2750,1775,1970,1427,2338
