STATE,COUNTY,STNAME,COUNTY_NAME,YEAR,AGEGRP,POPULATION,GENDER
6,1,California,Alameda,13,7,56511,M
6,1,California,Alameda,13,8,56955,M
6,1,California,Alameda,13,9,56139,M
6,1,California,Alameda,13,10,56163,M
6,1,California,Alameda,13,11,53623,M
6,1,California,Alameda,13,12,45805,M
6,1,California,Alameda,13,13,37886,M
6,1,California,Alameda,13,14,24740,M
6,1,California,Alameda,13,15,17205,M
6,1,California,Alameda,13,16,12673,M
6,1,California,Alameda,13,17,9232,M
6,1,California,Alameda,13,18,8395,M
6,1,California,Alameda,13,99,742513,M
6,3,California,Alpine,1,0,3,M
6,3,California,Alpine,1,1,27,M
6,3,California,Alpine,1,2,34,M
6,3,California,Alpine,1,3,39,M
6,3,California,Alpine,1,4,48,M
6,3,California,Alpine,1,5,56,M
6,3,California,Alpine,1,6,35,M
6,3,California,Alpine,1,7,26,M
6,3,California,Alpine,1,8,55,M
6,3,California,Alpine,1,9,58,M
6,3,California,Alpine,1,10,66,M
6,3,California,Alpine,1,11,61,M
6,3,California,Alpine,1,12,26,M
6,3,California,Alpine,1,13,34,M
6,3,California,Alpine,1,14,25,M
6,3,California,Alpine,1,15,19,M
6,3,California,Alpine,1,16,12,M
6,3,California,Alpine,1,17,2,M
6,3,California,Alpine,1,18,7,M
6,3,California,Alpine,1,99,633,M
6,3,California,Alpine,2,0,3,M
6,3,California,Alpine,2,1,27,M
6,3,California,Alpine,2,2,34,M
6,3,California,Alpine,2,3,39,M
6,3,California,Alpine,2,4,48,M
6,3,California,Alpine,2,5,56,M
6,3,California,Alpine,2,6,35,M
6,3,California,Alpine,2,7,26,M
6,3,California,Alpine,2,8,55,M
6,3,California,Alpine,2,9,58,M
6,3,California,Alpine,2,10,66,M
6,3,California,Alpine,2,11,62,M
6,3,California,Alpine,2,12,27,M
6,3,California,Alpine,2,13,34,M
6,3,California,Alpine,2,14,25,M
6,3,California,Alpine,2,15,19,M
6,3,California,Alpine,2,16,12,M
6,3,California,Alpine,2,17,2,M
6,3,California,Alpine,2,18,8,M
6,3,California,Alpine,2,99,636,M
6,3,California,Alpine,3,0,3,M
6,3,California,Alpine,3,1,22,M
6,3,California,Alpine,3,2,35,M
6,3,California,Alpine,3,3,41,M
6,3,California,Alpine,3,4,40,M
6,3,California,Alpine,3,5,52,M
6,3,California,Alpine,3,6,33,M
6,3,California,Alpine,3,7,25,M
6,3,California,Alpine,3,8,56,M
6,3,California,Alpine,3,9,48,M
6,3,California,Alpine,3,10,75,M
6,3,California,Alpine,3,11,59,M
6,3,California,Alpine,3,12,27,M
6,3,California,Alpine,3,13,36,M
6,3,California,Alpine,3,14,25,M
6,3,California,Alpine,3,15,16,M
6,3,California,Alpine,3,16,16,M
6,3,California,Alpine,3,17,4,M
6,3,California,Alpine,3,18,6,M
6,3,California,Alpine,3,99,619,M
6,3,California,Alpine,4,0,3,M
6,3,California,Alpine,4,1,26,M
6,3,California,Alpine,4,2,33,M
6,3,California,Alpine,4,3,40,M
6,3,California,Alpine,4,4,39,M
6,3,California,Alpine,4,5,51,M
6,3,California,Alpine,4,6,31,M
6,3,California,Alpine,4,7,25,M
6,3,California,Alpine,4,8,53,M
6,3,California,Alpine,4,9,54,M
6,3,California,Alpine,4,10,74,M
6,3,California,Alpine,4,11,63,M
6,3,California,Alpine,4,12,43,M
6,3,California,Alpine,4,13,33,M
